author_name,author_id,citations,paper_count,h_index,institution
xinyu crystina zhang,2118895402,242,25,9,
yu guo,2143379273,37,5,3,
zhao cao,2106400572,180,43,8,
zhengyi ma,1470579851,95,14,5,
huajie shao,3395273,1112,88,17,
ruijie wang,2144408471,212,21,8,
hanghang tong,8163721,13571,354,55,
shengzhong liu,1390628682,763,52,15,
yuchen yan,2109341751,197,23,6,
jinyang li,2124948781,280,28,9,
jinning li,2109377974,120,19,6,
dachun sun,1630209136,136,16,6,
t. abdelzaher,1730531,31550,611,87,
hang li,2118384241,116,20,6,
g. zuccon,1692855,4513,275,31,
shengyao zhuang,1630489015,317,26,12,
ziyi ye,47051292,22,20,3,
zhihong wang,2108349048,13,11,2,
xuancheng li,2108263748,13,3,1,
xuesong chen,2145449032,11,7,2,
jiaji li,2109045322,134,4,2,
xiaohui xie,2111366555,305,29,9,
tianzhe zhao,2153707350,31,14,3,
yudai pan,1452348450,74,13,6,
qika lin,144562160,275,30,10,
jun liu,2155648333,125,30,7,
fangzhi xu,2143943979,53,12,4,
yifan zhu,2125064076,49,9,4,
lingling zhang,2145417611,368,41,13,
chao feng,2153286417,20,5,3,
zheng liu,2145976175,739,44,14,
defu lian,1862782,4795,167,32,
xing xie,2110972323,1089,54,17,
fan yang,145338263,2628,56,23,
qi chen,2157956050,37,5,3,
yeyun gong,2171182,2102,77,23,
weihao han,2114924471,33,6,4,
yingxia shao,2237813,1652,111,22,
shitao xiao,2051175765,126,16,7,
jianjin zhang,2144231046,333,11,7,
joonseok lee,2119006,2949,90,19,
jae-woong lee,2108480251,66,10,4,
seongmin a. park,29197614,388,31,10,
jongwuk lee,1865093,1052,79,18,
hongfei lin,2116456164,192,90,7,
xiaokun zhang,2118365880,34,9,4,
bo xu,143876188,1296,131,18,
liang yang,2143920912,117,40,6,
fenglong ma,2068198532,109,10,4,
haifeng liu,2116283388,56,12,5,
miao li,2143545282,5,3,2,
yang yang,2152920745,82,4,3,
meng zhao,2116693703,4,3,1,
jingang wang,2109593338,67,34,4,
wei wu,2118256028,183,17,6,
mohan s. kankanhalli,145977143,883,82,15,
huilin chen,2155553474,35,5,4,
fan liu,2158337579,225,13,6,
yin-wei wei,1887997,899,41,13,
zhiyong cheng,13167100,2952,105,31,
jian zhang,2151809501,28,11,3,
yile liang,2119122936,244,13,6,
qilin deng,2056197320,77,13,5,
tangjie lv,80892810,123,25,7,
xudong shen,2144058688,791,12,7,
lei chen,2146071363,463,22,7,
kai wang,2148896822,71,11,5,
minghao zhao,2152527913,71,13,5,
runze wu,2087049767,225,44,9,
jian wang,2152770608,29,9,2,
jingdong chen,2108756214,2881,18,9,
jiajia liu,2121467110,27,7,3,
liheng zhong,2271408,1566,27,13,
kaixiang ji,2118930016,18,5,2,
wei chu,2104394256,167,12,6,
weixiang hong,3493754,465,24,9,
xiaokai chu,90368708,158,14,5,
lixin zou,8718022,681,36,12,
xiaolong xu,145921385,5818,256,42,
xuyun zhang,1992681025,6429,221,43,
a. beheshti,24901061,1346,104,22,
qiang he,1576126930,203,7,4,
chao yan,2116547722,320,31,6,
yifei chen,2109141852,64,19,5,
lianyong qi,1782044,7039,287,47,
wenwen gong,1384218368,39,17,3,
huasheng liang,2108951842,36,7,3,
dongdong li,2144141557,49,3,3,
zhumin chen,1721165,3193,122,27,
zhi tian,2165763619,18,1,1,
liu yang,49576068,5875,941,34,
bolin ding,1696332,7390,183,42,
yaliang li,2110479359,5558,160,34,
shanlei mu,51396195,255,10,5,
wayne xin zhao,2542603,9213,232,42,
jingyuan wang,2115891766,41,17,3,
c. yuan,2034987,707,81,13,
y. huang,2339847,658,70,14,
feng cheng,2091498573,3,3,1,
guanghui zhu,48924179,97,34,6,
weiming liu,2109584311,76,14,5,
xiaolin zheng,1687974,1926,124,25,
chaochao chen,2145762399,325,47,9,
mengling hu,2154584216,29,10,2,
mu-chun wang,2119075660,82,5,4,
shuo zhang,1390852432,640,41,13,
k. balog,1680484,6369,233,44,
wen zhang,2155281129,134,28,7,
hua-zeng chen,14499025,91,25,5,
mingyang chen,48622851,226,12,6,
yushan zhu,2145160040,59,8,4,
hongting zhou,2157474956,26,4,2,
zonggang yuan,1617854355,184,11,7,
yuntao du,151480027,95,19,6,
baihua zheng,40116832,5045,186,42,
lu chen,2115384591,956,126,17,
xinjun zhu,2152512816,56,7,4,
yunjun gao,1409828392,3062,292,30,
yujia hu,2124479224,25,5,3,
ziquan fang,1726018749,134,19,7,
jun zhou,2151548940,1590,64,23,
xiaolin zheng,2152196684,70,3,3,
carl yang,1390553618,2582,130,28,
yanchao tan,30497353,78,16,5,
xiangyu wei,2152145046,22,4,2,
longfei li,2151580,731,57,13,
chaochao chen,1694815,1817,67,22,
jingfan chen,2108110907,51,7,5,
haojun hou,2158816351,23,4,2,
zhaobo wang,2144713105,87,12,4,
chunyang wang,2117977668,80,14,4,
yanmin zhu,153514206,1123,102,15,
haobing liu,2143857288,94,16,5,
luis espinosa anke,2254466,1378,79,22,
israa alghanmi,2008208677,28,5,2,
s. schockaert,2265382,3199,272,29,
thierson couto,2290227,564,25,12,
daniel xavier de sousa,1932834,86,11,6,
marcos andré gonçalves,2001041773,67,13,4,
p. s. rodrigues,2175355655,0,2,0,
laura dietz,145798497,1295,86,15,
shubham chatterjee,2113355478,41,15,3,
philipp christmann,1389567580,100,9,3,
rishiraj saha roy,40075164,985,57,18,
g. weikum,1751591,36872,904,89,
nick craswell,1703980,13846,267,61,
e. voorhees,1746656,19612,196,71,
xinyi yan,2116538878,53,4,3,
c. clarke,1751287,9767,257,47,
p. castells,2912921,6794,201,43,
vladislav blinov,2053302599,85,7,4,
valeriia bolotova,2175278347,10,1,1,
m. sanderson,144721996,10884,376,51,
falk scholer,1732541,4075,202,32,
w. bruce croft,144456145,60165,739,124,
wei wu,2118256000,259,40,10,
kai zhang,71332119,134,23,6,
kunpeng zhang,2119017721,26,4,2,
mengdi zhang,48985404,451,18,7,
mingyue cheng,1491233507,107,17,6,
jia chen,123878913,123,15,6,
yan fang,2112742917,10,3,1,
shenghao yang,2144996249,70,11,5,
h. fang,145344526,3017,140,22,
jingjing li,31115284,3577,112,33,
wentao tan,2087228450,19,6,2,
lei zhu,145081293,3286,253,24,
j. mackenzie,47470313,524,52,14,
l. azzopardi,1716332,5615,302,38,
alistair moffat,144448479,17751,359,60,
song yang,2143935646,35,5,2,
kai-qi zhao,26048494,6,13,1,
jiamou liu,2108326935,153,61,7,
lifu huang,34170717,2028,78,22,
shuang li,2133436155,83,14,6,
li lin,2111439896,194,17,7,
jianmin wang,2016222572,4502,194,31,
l. wen,40650846,3323,109,24,
xuming hu,2109906988,334,35,9,
yixin cao,145014675,2469,55,19,
yanyan li,2135367150,8,2,1,
d. dou,1721158,6070,305,36,
song wang,2143256075,32,5,3,
yaqing wang,2115793087,2051,48,16,
damiano spina,1630446247,226,28,8,
enrique amigó,1688716,2353,91,20,
stefano mizzaro,1726978,3160,168,26,
sen su,3185257,3829,221,31,
rui li,2150925926,77,10,5,
cheng-fu yang,2154173140,2,3,1,
wenlin zhao,2155577687,14,3,2,
xiaoyue feng,2190042195,991,39,13,
meng li,31289209,20701,2270,57,
yonghao liu,2108833052,38,7,3,
ximing li,2108691206,183,31,7,
renchu guan,144479376,1823,94,23,
fausto giunchiglia,1720285,18004,559,55,
chen zhang,145107889,737,197,11,
d. song,48437245,4479,324,35,
bobo zhang,2208118573,396,15,13,
fang ma,2163587600,15,5,3,
xinyan fan,46515856,265,22,6,
jianxun lian,2813328,2303,46,18,
vishwa vinay,3121908,647,43,14,
d. arbour,144004920,271,47,10,
manoj kilaru,66814047,4,4,1,
nan yang,2153402103,42,7,2,
yuexiang xie,52133762,291,25,11,
changxin tian,2072927117,331,8,6,
jing ma,46282607,2141,219,23,
hongzhan lin,2109380683,51,10,4,
wei gao,145816335,4090,98,27,
r. yang,1713791305,42,3,2,
xueqi cheng,2110251463,70,54,4,
huawei shen,2476503,5604,218,38,
shuchang tao,32504908,64,14,5,
qi cao,2057766936,763,46,10,
